,%time,seconds,usecs/call,calls,errors,syscall
0,99.19,0.227468,17497,13,0,futex
1,0.24,0.000553,6,91,0,mmap
2,0.14,0.000323,10,31,0,mprotect
3,0.12,0.000271,6,41,14,openat
4,0.05,0.000119,2,50,1,close
5,0.05,0.000119,4,25,0,fstat
6,0.04,0.000098,3,26,0,lstat
7,0.04,0.000095,2,37,0,read
8,0.03,0.000062,20,3,0,munmap
9,0.02,0.000039,13,3,3,connect
10,0.01,0.000031,2,11,0,rt_sigaction
11,0.01,0.000031,10,3,0,socket
12,0.01,0.000028,1,15,0,pread64
13,0.01,0.000027,4,6,3,access
14,0.01,0.000019,3,6,0,brk
15,0.00,0.000008,8,1,0,rt_sigprocmask
16,0.00,0.000008,8,1,0,prlimit64
17,0.00,0.000007,1,4,0,getuid
18,0.00,0.000007,7,1,0,set_tid_address
19,0.00,0.000007,7,1,0,set_robust_list
20,0.00,0.000005,1,4,2,arch_prctl
21,0.00,0.000000,0,19,12,stat
22,0.00,0.000000,0,1,0,lseek
23,0.00,0.000000,0,9,1,rt_sigreturn
24,0.00,0.000000,0,9,0,pipe
25,0.00,0.000000,0,1,0,getpid
26,0.00,0.000000,0,11,0,clone
27,0.00,0.000000,0,2,0,execve
28,0.00,0.000000,0,10,1,wait4
29,0.00,0.000000,0,3,0,fcntl
30,0.00,0.000000,0,1,0,getcwd
31,0.00,0.000000,0,3,0,chdir
32,0.00,0.000000,0,1,1,mkdir
33,0.00,0.000000,0,1,0,readlink
34,0.00,0.000000,0,1,0,getgid
35,0.00,0.000000,0,2,0,geteuid
36,0.00,0.000000,0,1,0,getegid
37,0.00,0.000000,0,1,0,getppid
